iter	MultiClass
0	1.087881491
1	1.07782279
2	1.066614451
3	1.05556709
4	1.044528894
5	1.036138653
6	1.023767596
7	1.015751579
8	1.005241476
9	0.997922393
10	0.9924360858
11	0.9860653587
12	0.9821012822
13	0.9778173446
14	0.9751375408
15	0.9663458086
16	0.964919664
17	0.9625818509
18	0.958706723
19	0.9552498207
20	0.9506390146
21	0.9468190922
22	0.9414077779
23	0.937677214
24	0.9355742748
25	0.9335125191
26	0.9290152553
27	0.9262103982
28	0.9230985545
29	0.9200888566
30	0.9178204461
31	0.9150467039
32	0.9141852625
33	0.9113225433
34	0.9082875519
35	0.9064137488
36	0.9038024721
37	0.8994038028
38	0.8984194286
39	0.8962683434
40	0.8942409055
41	0.8935740225
42	0.8925502256
43	0.8920504994
44	0.8891842858
45	0.8874112719
46	0.8862939128
47	0.8845835809
48	0.8834247993
49	0.8811544081
50	0.8792882372
51	0.8786163236
52	0.8766872832
53	0.8744171347
54	0.8733832689
55	0.8728470154
56	0.8721592945
57	0.8707927426
58	0.8699963784
59	0.8694518682
60	0.8688191265
61	0.8676151571
62	0.8672008276
63	0.8664030007
64	0.8660012475
65	0.8654606679
66	0.8647434399
67	0.8642057291
68	0.8624285134
69	0.8616058062
70	0.8609063116
71	0.859887345
72	0.8593910455
73	0.8586866172
74	0.8575767677
75	0.8568680999
76	0.8558504645
77	0.8554055515
78	0.8545713246
79	0.8537386102
80	0.853186871
81	0.8529202954
82	0.8523576183
83	0.8519881095
84	0.8516977222
85	0.8510875675
86	0.8506858273
87	0.8501364544
88	0.8474408625
89	0.8460168235
90	0.8454129111
91	0.8437045658
92	0.8428968378
93	0.8421208237
94	0.8417550389
95	0.8413817537
96	0.8403633743
97	0.8397905125
98	0.8393776461
99	0.8390734696
100	0.8385148766
101	0.8380150128
102	0.8375196042
103	0.834703318
104	0.8334360233
105	0.8328226584
106	0.8319668991
107	0.8315516509
108	0.8310941562
109	0.8301918881
110	0.8288726611
111	0.8284986831
112	0.8281571977
113	0.8278044844
114	0.826995502
115	0.8266331262
116	0.8246967366
117	0.8240869391
118	0.8213100161
119	0.8209278338
120	0.8206457658
121	0.8191144253
122	0.8174621766
123	0.815985362
124	0.8142310101
125	0.8137191814
126	0.8133585823
127	0.812922764
128	0.8115680935
129	0.8112645816
130	0.8105035753
131	0.8098916781
132	0.8088252037
133	0.8071853452
134	0.806256886
135	0.8059247362
136	0.8050999193
137	0.8047434731
138	0.8044347533
139	0.8040492724
140	0.8037240882
141	0.8024858333
142	0.8021512119
143	0.8015909011
144	0.8011032277
145	0.8008699984
146	0.7995900033
147	0.7988120993
148	0.7980651038
149	0.7978008254
150	0.7971682152
151	0.7961195154
152	0.7958439885
153	0.7955911742
154	0.7946479178
155	0.793176265
156	0.792150516
157	0.7908076663
158	0.7904901326
159	0.7895470705
160	0.7887357371
161	0.7884172084
162	0.7881125443
163	0.7875197117
164	0.7865434075
165	0.7853299956
166	0.7849702904
167	0.7845485993
168	0.7836347503
169	0.7833607234
170	0.7825917947
171	0.7820125886
172	0.7808171792
173	0.780467573
174	0.7799140076
175	0.7796272904
176	0.7793281685
177	0.7790469612
178	0.7788512918
179	0.7785862756
180	0.7782517467
181	0.7778487259
182	0.7776204587
183	0.7765241687
184	0.7762469209
185	0.7760717976
186	0.7757826255
187	0.7755254197
188	0.7748964997
189	0.7745086187
190	0.7733914139
191	0.7730743086
192	0.7728649768
193	0.7726503814
194	0.7718056387
195	0.7715735425
196	0.7711383124
197	0.7707361741
198	0.769785441
199	0.7691204339
