iter	Passed	Remaining
0	103	20647
1	202	20067
2	303	19938
3	414	20323
4	521	20330
5	650	21044
6	770	21236
7	876	21042
8	981	20822
9	1094	20792
10	1215	20889
11	1322	20726
12	1426	20517
13	1534	20382
14	1657	20445
15	1762	20271
16	1873	20162
17	1992	20144
18	2096	19968
19	2201	19816
20	2308	19674
21	2421	19593
22	2525	19436
23	2638	19352
24	2746	19222
25	2850	19077
26	2959	18962
27	3064	18825
28	3168	18685
29	3276	18566
30	3381	18435
31	3491	18331
32	3605	18244
33	3725	18191
34	3856	18179
35	3972	18097
36	4105	18086
37	4221	17994
38	4325	17855
39	4428	17712
40	4531	17571
41	4656	17517
42	4788	17482
43	4904	17389
44	5022	17300
45	5143	17218
46	5267	17146
47	5388	17063
48	5492	16925
49	5618	16856
50	5726	16729
51	5832	16601
52	5941	16478
53	6059	16383
54	6182	16298
55	6297	16193
56	6414	16093
57	6515	15952
58	6617	15814
59	6719	15678
60	6821	15544
61	6941	15451
62	7073	15381
63	7182	15263
64	7286	15133
65	7404	15034
66	7529	14945
67	7634	14820
68	7742	14699
69	7864	14606
70	7971	14483
71	8076	14358
72	8195	14257
73	8328	14180
74	8438	14064
75	8550	13950
76	8659	13831
77	8761	13703
78	8869	13584
79	8973	13460
80	9096	13364
81	9196	13234
82	9313	13128
83	9425	13016
84	9532	12896
85	9672	12821
86	9810	12741
87	9929	12637
88	10056	12542
89	10169	12429
90	10282	12315
91	10392	12199
92	10503	12085
93	10631	11988
94	10764	11898
95	10873	11779
96	10975	11654
97	11106	11559
98	11232	11459
99	11331	11331
100	11435	11208
101	11559	11106
102	11662	10983
103	11785	10879
104	11908	10774
105	12017	10657
106	12147	10557
107	12270	10452
108	12378	10334
109	12493	10221
110	12610	10110
111	12710	9987
112	12833	9880
113	12934	9757
114	13042	9640
115	13155	9526
116	13273	9416
117	13370	9291
118	13476	9172
119	13577	9051
120	13669	8924
121	13763	8799
122	13859	8676
123	13959	8555
124	14083	8449
125	14194	8336
126	14304	8222
127	14418	8110
128	14537	8001
129	14643	7884
130	14748	7768
131	14851	7650
132	14955	7533
133	15059	7417
134	15163	7300
135	15266	7184
136	15366	7066
137	15462	6946
138	15563	6830
139	15657	6710
140	15750	6590
141	15850	6474
142	15950	6357
143	16068	6248
144	16177	6136
145	16277	6020
146	16376	5904
147	16481	5790
148	16581	5675
149	16682	5560
150	16782	5445
151	16885	5332
152	16984	5217
153	17082	5102
154	17182	4988
155	17292	4877
156	17396	4764
157	17504	4653
158	17610	4541
159	17748	4437
160	17848	4323
161	17947	4209
162	18047	4096
163	18145	3983
164	18245	3870
165	18345	3757
166	18445	3644
167	18544	3532
168	18652	3421
169	18747	3308
170	18849	3196
171	18945	3084
172	19049	2973
173	19146	2861
174	19252	2750
175	19350	2638
176	19447	2527
177	19546	2415
178	19643	2304
179	19743	2193
180	19842	2082
181	19939	1972
182	20037	1861
183	20139	1751
184	20239	1641
185	20334	1530
186	20432	1420
187	20535	1310
188	20640	1201
189	20736	1091
190	20831	981
191	20927	871
192	21022	762
193	21117	653
194	21215	543
195	21308	434
196	21405	325
197	21499	217
198	21596	108
199	21694	0
